"participant","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","binary_response","dimension","binary_response_numeric"
"exp106","bottomdagger-p07-ri","p07","bottomdagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,1,"more well educated","education",1
"exp106","dottybutter-p08-rs","p08","dottybutter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"less well educated","education",0
"exp106","bottomcabin-p01-si","p01","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,1,"more well educated","education",1
"exp106","dapperdagger-p08-ci","p08","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,"less well educated","education",0
"exp106","dapperparty-p01-is","p01","dapperparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"more well educated","education",1
"exp106","dottygarter-p05-rr","p05","dottygarter","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,1,"less well educated","education",0
"exp106","baddercabin-p06-ic","p06","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"more well educated","education",1
"exp106","dottybutter-p08-ss","p08","dottybutter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,1,"less well educated","education",0
"exp106","dottybutter-p06-sr","p06","dottybutter","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"more well educated","education",1
"exp106","taggercabin-p01-cc","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"less well educated","education",0
"exp106","bottomcabin-p05-sc","p05","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,1,"more well educated","education",1
"exp106","baddercotton-p07-cs","p07","baddercotton","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,1,"less well educated","education",0
"exp106","bottomcabin-p01-rc","p01","bottomcabin","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,1,"less well educated","education",0
"exp106","cabinparty-p04-is","p04","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"less well educated","education",0
"exp106","bottomcabin-p06-si","p06","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,1,"less well educated","education",0
"exp106","dottygarter-p04-rr","p04","dottygarter","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,1,"more well educated","education",1
"exp106","cabintagger-p07-ic","p07","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"less well educated","education",0
"exp106","cottoncabin-p04-si","p04","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,1,"more well educated","education",1
"exp106","baddercotton-p08-ir","p08","baddercotton","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,1,"more well educated","education",1
"exp106","dottydagger-p07-rc","p07","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,1,"more well educated","education",1
"exp106","partybutton-p07-ss","p07","partybutton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,1,"more well educated","education",1
"exp106","dapperdagger-p05-cc","p05","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"less well educated","education",0
"exp106","cabintagger-p07-cc","p07","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"less well educated","education",0
"exp106","dapperparty-p06-ir","p06","dapperparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,1,"more well educated","education",1
"exp106","bottomcotton-p07-rs","p07","bottomcotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"more well educated","education",1
"exp106","bottomcabin-p08-rc","p08","bottomcabin","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,1,"more well educated","education",1
"exp106","cabintagger-p08-ic","p08","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"more well educated","education",1
"exp106","cabingutter-p05-cr","p05","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"more well educated","education",1
"exp106","cabinparty-p05-ir","p05","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,1,"more well educated","education",1
"exp106","dappercabin-p04-ii","p04","dappercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"less well educated","education",0
"exp106","dapperparty-p01-cs","p01","dapperparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,1,"more well educated","education",1
"exp106","dottybutter-p06-rr","p06","dottybutter","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,1,"less well educated","education",0
"exp106","cabindagger-p01-ci","p01","cabindagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,"more well educated","education",1
"exp106","cabintagger-p04-ci","p04","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,"less well educated","education",0
"exp106","partybutton-p01-rs","p01","partybutton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,1,"more well educated","education",1
"exp106","cabintagger-p05-ii","p05","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"less well educated","education",0
"exp106","dapperparty-p04-cs","p04","dapperparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,1,"more well educated","education",1
"exp106","badderdagger-p06-ii","p06","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"less well educated","education",0
"exp106","cabinparty-p07-cr","p07","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"more well educated","education",1
"exp106","dottycabin-p08-sc","p08","dottycabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,1,"less well educated","education",0
"exp106","dottygarter-p05-ss","p05","dottygarter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,1,"more well educated","education",1
"exp106","baggycotton-p08-is","p08","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,1,"more well educated","education",1
"exp106","cabinparty-p06-cr","p06","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"more well educated","education",1
"exp106","dottygarter-p01-sr","p01","dottygarter","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"less well educated","education",0
"exp106","dottydagger-p05-ri","p05","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,1,"more well educated","education",1
"exp106","partybutton-p04-sr","p04","partybutton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"more well educated","education",1
"exp106","dottydagger-p06-ri","p06","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,1,"less well educated","education",0
"exp106","bottomcabin-p04-sc","p04","bottomcabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,1,"more well educated","education",1
"exp106","cabinparty-p04-ir","p04","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","bottomcotton-p01-ss","p01","bottomcotton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,2,"not strong NZ accent","accent",1
"exp106","bottomcotton-p05-rs","p05","bottomcotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","baggybottom-p08-is","p08","baggybottom","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","cottoncabin-p05-sc","p05","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,2,"not strong NZ accent","accent",1
"exp106","partycotton-p08-rr","p08","partycotton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","badderparty-p06-cr","p06","badderparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","bottomcotton-p01-rr","p01","bottomcotton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","partybutton-p05-ss","p05","partybutton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,2,"not strong NZ accent","accent",1
"exp106","baggybottom-p07-ir","p07","baggybottom","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","bottombaggy-p05-ri","p05","bottombaggy","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,2,"not strong NZ accent","accent",1
"exp106","cabindagger-p08-ic","p08","cabindagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,"not strong NZ accent","accent",1
"exp106","cabintagger-p05-cc","p05","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"not strong NZ accent","accent",1
"exp106","bottomdagger-p06-si","p06","bottomdagger","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","taggercabin-p08-cc","p08","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","badderparty-p01-cr","p01","badderparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,2,"not strong NZ accent","accent",1
"exp106","dapperparty-p05-cr","p05","dapperparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","cabinparty-p07-is","p07","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,2,"not strong NZ accent","accent",1
"exp106","badderdagger-p04-cc","p04","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","dottydagger-p07-si","p07","dottydagger","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","baggycotton-p05-cs","p05","baggycotton","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","dapperdagger-p06-ic","p06","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","dottydagger-p01-rc","p01","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","taggercabin-p05-ic","p05","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,2,"not strong NZ accent","accent",1
"exp106","cottoncabin-p01-ri","p01","cottoncabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","baddercabin-p07-ci","p07","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"not strong NZ accent","accent",1
"exp106","taggercabin-p01-ci","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","partycotton-p04-sr","p04","partycotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","dottydagger-p08-rc","p08","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","bottomcotton-p06-sr","p06","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,2,"not strong NZ accent","accent",1
"exp106","badderdagger-p06-ii","p06","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","cabintagger-p07-ii","p07","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","cabingutter-p08-ir","p08","cabingutter","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","ir","TRAPInnovative","tInnovative",TRUE,2,"not strong NZ accent","accent",1
"exp106","dottybutter-p07-ss","p07","dottybutter","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","ss","tConservative","tConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","baddercotton-p04-cs","p04","baddercotton","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,2,"not strong NZ accent","accent",1
"exp106","baggygarter-p01-is","p01","baggygarter","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","is","TRAPInnovative","tConservative",FALSE,2,"not strong NZ accent","accent",1
"exp106","bottomdagger-p08-sc","p08","bottomdagger","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","bottombaggy-p04-si","p04","bottombaggy","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","si","tConservative","TRAPInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","baggygarter-p06-cs","p06","baggygarter","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cs","TRAPConservative","tConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","bottomcotton-p04-rr","p04","bottomcotton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,2,"not strong NZ accent","accent",1
"exp106","dottybutter-p06-rs","p06","dottybutter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","dappercabin-p04-ci","p04","dappercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,2,"strong NZ accent","accent",0
"exp106","cottoncabin-p06-sc","p06","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","sc","tConservative","TRAPConservative",TRUE,2,"strong NZ accent","accent",0
"exp106","dottydagger-p04-rc","p04","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","rc","tInnovative","TRAPConservative",FALSE,2,"not strong NZ accent","accent",1
"exp106","partycotton-p07-rs","p07","partycotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","rs","tInnovative","tConservative",FALSE,2,"strong NZ accent","accent",0
"exp106","cabindagger-p01-ii","p01","cabindagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","bottomdagger-p07-ri","p07","bottomdagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ri","tInnovative","TRAPInnovative",TRUE,2,"strong NZ accent","accent",0
"exp106","cottonbutton-p08-sr","p08","cottonbutton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,2,"not strong NZ accent","accent",1
"exp106","cottoncabin-p01-ri","p01","cottoncabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ri","tConservative","TRAPInnovative",FALSE,3,"more masculine","gender",1
"exp106","baggybottom-p08-cr","p08","baggybottom","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cr","TRAPConservative","tConservative",TRUE,3,"more masculine","gender",1
"exp106","cottonbutton-p01-ss","p01","cottonbutton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","ss","tInnovative","tInnovative",TRUE,3,"more masculine","gender",1
"exp106","badderparty-p04-cr","p04","badderparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cr","TRAPConservative","tConservative",TRUE,3,"more masculine","gender",1
"exp106","bottomcabin-p01-sc","p01","bottomcabin","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","sc","tInnovative","TRAPConservative",FALSE,3,"more masculine","gender",1
"exp106","baddercabin-p05-ic","p05","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,3,"more masculine","gender",1
"exp106","dottycabin-p06-sc","p06","dottycabin","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","sc","tInnovative","TRAPConservative",FALSE,3,"less masculine","gender",0
"exp106","dapperdagger-p07-ii","p07","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,3,"more masculine","gender",1
"exp106","dottycabin-p05-si","p05","dottycabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","si","tInnovative","TRAPInnovative",TRUE,3,"less masculine","gender",0
"exp106","bottombaggy-p04-rc","p04","bottombaggy","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","rc","tConservative","TRAPConservative",TRUE,3,"more masculine","gender",1
"exp106","dapperparty-p05-is","p05","dapperparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","is","TRAPInnovative","tInnovative",TRUE,3,"less masculine","gender",0
"exp106","cabinparty-p01-cr","p01","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Conservative","ConservativeConservative","cr","TRAPConservative","tConservative",TRUE,3,"more masculine","gender",1
"exp106","bottomcotton-p06-rs","p06","bottomcotton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","rs","tConservative","tInnovative",FALSE,3,"more masculine","gender",1
"exp106","baggycotton-p04-ir","p04","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","ir","TRAPInnovative","tConservative",FALSE,3,"less masculine","gender",0
"exp106","cottonbutton-p04-rs","p04","cottonbutton","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","rs","tConservative","tInnovative",FALSE,3,"less masculine","gender",0
"exp106","baddercotton-p07-is","p07","baddercotton","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","is","TRAPInnovative","tInnovative",TRUE,3,"more masculine","gender",1
"exp106","badderdagger-p05-ci","p05","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,3,"less masculine","gender",0
"exp106","bottomcotton-p08-rr","p08","bottomcotton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","rr","tConservative","tConservative",TRUE,3,"more masculine","gender",1
"exp106","bottomdagger-p06-rc","p06","bottomdagger","t","TRAP","tTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","rc","tConservative","TRAPConservative",TRUE,3,"less masculine","gender",0
"exp106","partybutton-p07-rr","p07","partybutton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","rr","tConservative","tConservative",TRUE,3,"more masculine","gender",1
"exp106","dottycabin-p08-ri","p08","dottycabin","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ri","tConservative","TRAPInnovative",FALSE,3,"more masculine","gender",1
"exp106","dottydagger-p07-sc","p07","dottydagger","t","TRAP","tTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","sc","tInnovative","TRAPConservative",FALSE,3,"less masculine","gender",0
"exp106","cabinparty-p06-is","p06","cabinparty","TRAP","t","TRAPt",FALSE,"Innovative","Innovative","InnovativeInnovative","is","TRAPInnovative","tInnovative",TRUE,3,"more masculine","gender",1
"exp106","partybutton-p07-sr","p07","partybutton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","sr","tInnovative","tConservative",FALSE,3,"less masculine","gender",0
"exp106","cabinparty-p06-cs","p06","cabinparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cs","TRAPConservative","tInnovative",FALSE,3,"more masculine","gender",1
"exp106","cottonbutton-p06-ss","p06","cottonbutton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","ss","tInnovative","tInnovative",TRUE,3,"more masculine","gender",1
"exp106","bottomcotton-p01-rr","p01","bottomcotton","t","t","tt",TRUE,"Conservative","Conservative","ConservativeConservative","rr","tConservative","tConservative",TRUE,3,"less masculine","gender",0
"exp106","partycotton-p08-sr","p08","partycotton","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","sr","tInnovative","tConservative",FALSE,3,"more masculine","gender",1
"exp106","cabingutter-p08-cs","p08","cabingutter","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cs","TRAPConservative","tInnovative",FALSE,3,"less masculine","gender",0
"exp106","dapperdagger-p07-ci","p07","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,3,"more masculine","gender",1
"exp106","badderdagger-p04-ic","p04","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,3,"more masculine","gender",1
"exp106","baggycotton-p07-ir","p07","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","ir","TRAPInnovative","tConservative",FALSE,3,"more masculine","gender",1
"exp106","taggercabin-p01-ic","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,3,"more masculine","gender",1
"exp106","dottydagger-p04-ri","p04","dottydagger","t","TRAP","tTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ri","tConservative","TRAPInnovative",FALSE,3,"more masculine","gender",1
"exp106","daggerparty-p01-ir","p01","daggerparty","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","ir","TRAPInnovative","tConservative",FALSE,3,"less masculine","gender",0
"exp106","badderdagger-p06-ci","p06","badderdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,3,"more masculine","gender",1
"exp106","baddercabin-p08-cc","p08","baddercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,3,"more masculine","gender",1
"exp106","cabintagger-p06-cc","p06","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,3,"more masculine","gender",1
"exp106","cottoncabin-p08-si","p08","cottoncabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","si","tInnovative","TRAPInnovative",TRUE,3,"more masculine","gender",1
"exp106","dottygarter-p05-sr","p05","dottygarter","t","t","tt",TRUE,"Innovative","Conservative","InnovativeConservative","sr","tInnovative","tConservative",FALSE,3,"less masculine","gender",0
"exp106","bottomcabin-p07-si","p07","bottomcabin","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","si","tInnovative","TRAPInnovative",TRUE,3,"more masculine","gender",1
"exp106","cabintagger-p08-ii","p08","cabintagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,3,"more masculine","gender",1
